,country,city,lat,lon,pageviews,pageviews_dby,pct_change,date,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Brazil,Bulgaria,Burma,Cambodia,Canada,Cape-Verde,China,Colombia,Costa-Rica,Croatia,Cuba,Cyprus,Czech-Republic,Democratic-Republic-Of-Congo,Dominican-Republic,Ecuador,Egypt,Egypt.,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Hong-Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Laos,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mali,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Nepal,Netherlands,Nigeria,North-Korea,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Russia,Saudi-Arabia,Senegal,Serbia,Singapore,Somalia,South-Africa,South-Korea,South-Sudan,Spain,Sri-Lanka,Sudan,Switzerland,Syria,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United-Arab-Emirates,USA,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
0,Afghanistan,Kabul,34.31,69.11,219,249,-12,10/07/2013,257,129,130,135,175,449,106,139,174,90,41,553,253,197,280,236,111,904,241,153,313,522,489,125,102,621,176,18824,5,209,625,156,90,195,231,1029,105,158,88,825,272,232,231,387,335,279,272,833,296,450,80,499,182,171,480,131,146,171,555,85,534,229,149,100,365,117,164,380,180,211,130,250,175,271,189,110,130,193,127,415,195,106,787,360,112,101,134,298,670,984,2984,467,158,300,1214,112,291,130,173,217
1,Albania,Tirana (Tirane),41.19,19.49,122,106,15.1,11/07/2013,239,104,149,105,148,450,95,366,138,123,37,438,283,203,214,292,103,511,238,118,235,398,397,88,103,522,124,13119,1,174,485,115,91,170,155,540,95,134,71,588,246,194,223,373,331,304,303,302,245,393,92,365,193,147,378,103,59,196,562,72,472,181,124,108,339,115,128,271,209,336,134,211,136,258,194,92,98,188,113,372,166,68,688,422,91,104,136,252,696,950,2340,218,149,285,1413,178,603,113,121,464
2,Algeria,Algiers,36.45,3.03,147,137,7.3,12/07/2013,306,132,118,114,168,423,111,160,113,109,44,284,227,165,225,243,118,410,209,165,363,314,490,105,105,280,122,10902,,205,868,152,90,192,196,4528,100,131,86,541,247,235,234,356,319,477,202,252,227,375,110,306,183,120,748,138,84,148,514,93,473,150,126,113,341,156,150,290,177,286,124,278,121,316,157,84,101,187,142,371,198,64,990,368,106,136,152,187,679,794,2198,210,140,260,1100,140,353,128,90,212
3,American Samoa,Pago Pago,-14.16,-170.42,,,,13/07/2013,180,94,91,50,122,297,60,97,84,99,24,207,201,131,176,155,67,255,155,112,223,222,288,65,33,226,80,7049,,126,551,89,88,140,106,899,73,91,48,320,177,157,138,240,255,249,119,131,174,240,55,179,118,87,384,67,20,114,290,90,360,110,68,65,172,125,90,201,135,143,99,138,99,143,153,49,97,141,86,222,286,52,530,323,62,63,106,163,523,722,1683,153,115,207,907,75,220,85,78,112
4,Andorra,Andorra la Vella,42.3,1.31,,,,14/07/2013,196,125,115,95,148,388,64,99,203,117,57,221,261,183,268,179,127,300,167,187,318,390,367,80,97,310,129,7367,,176,552,106,62,169,156,735,91,109,64,435,227,203,159,341,287,287,145,183,225,284,99,224,138,134,407,108,40,152,494,85,523,93,130,85,193,153,101,200,189,241,117,178,104,173,171,64,123,159,95,333,342,45,654,383,70,98,101,226,647,948,2120,201,119,231,1141,73,318,95,72,169
5,Angola,Luanda,-8.5,13.14,124,98,26.5,15/07/2013,279,184,173,110,174,479,100,146,292,120,47,388,317,230,336,252,151,609,278,185,390,434,502,133,131,371,337,10884,,215,950,145,129,218,172,1226,108,155,79,810,336,216,231,513,391,420,204,334,288,476,130,375,240,199,584,174,117,219,670,114,515,353,321,147,363,165,157,290,237,250,140,275,143,262,192,115,134,199,112,472,285,77,983,439,116,146,122,250,892,1320,2657,303,192,334,1544,137,389,142,117,271
6,Anguilla,The Valley,18.13,-63.03,,,,16/07/2013,258,115,143,110,171,500,112,124,392,126,48,305,288,213,253,217,116,435,317,165,338,460,428,92,224,288,202,10271,,218,606,160,117,220,219,1518,136,143,74,662,316,470,259,487,445,348,210,251,266,1396,80,336,234,164,447,150,85,227,749,95,590,193,173,106,743,141,154,292,212,222,150,247,163,289,193,103,95,248,153,449,200,84,828,453,92,115,149,293,807,973,2345,286,133,350,1390,128,356,146,152,193
7,Antigua and Barbuda,Saint John's,17.07,-61.51,,,,17/07/2013,244,145,144,116,162,415,94,109,258,136,46,457,210,234,272,230,120,332,274,137,364,417,351,89,156,246,189,9168,,208,569,167,113,163,188,703,141,127,93,531,272,410,238,444,330,275,189,240,240,579,104,365,204,187,403,148,75,193,610,86,412,207,178,105,403,155,152,286,212,229,98,220,116,205,233,121,144,184,116,454,344,84,721,419,127,93,131,298,690,845,2063,217,156,327,1400,103,311,126,136,181
8,Argentina,Buenos Aires,-34.36,-58.4,168,189,-11.1,18/07/2013,250,133,118,110,137,415,113,522,201,133,38,359,257,168,246,298,100,362,235,151,287,285,360,85,139,321,173,7022,,195,660,128,91,245,177,674,87,125,131,630,238,306,382,484,335,335,173,243,231,451,86,311,168,169,422,117,53,178,589,79,462,183,129,162,349,171,150,289,268,246,153,249,509,251,228,84,118,158,181,445,259,87,752,378,90,144,129,283,708,780,1978,239,148,351,1431,97,293,143,100,194
9,Armenia,Yerevan,40.1,44.3,,,,19/07/2013,207,102,135,92,128,384,76,175,134,96,50,243,201,201,205,194,87,320,283,142,220,299,311,86,138,226,142,6755,,174,461,114,66,151,160,419,107,110,72,1074,202,209,231,335,334,236,142,261,252,398,88,277,165,132,299,85,64,145,517,72,315,111,91,103,501,120,147,243,224,214,114,204,311,237,702,80,83,155,103,310,162,70,581,308,78,90,103,227,522,734,1656,166,116,406,1074,87,220,125,100,177
