,country,city,lat,lon,summary,ERQ,SAS,health,money,terrorism,LLC,ND,CFTA,ARC,SAHEL,pageviews,pageviews_dby,pct_change,HighCFCO,MedSum,Med_Entreq,MedSS,MedHealth,MedMoney,MedTerror,MedLocal,MedNatural,MedContact,MedArctic,MedSahel,date,Afghanistan,Albania,Algeria,Angola,Antigua-And-Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belgium,Belize,Bolivia,Botswana,Brazil,Bulgaria,Burkina-Faso,Burma,Cambodia,Cameroon,Canada,Cape-Verde,Chile,China,Colombia,Congo,Costa-Rica,Croatia,Cuba,Cyprus,Czech-Republic,Democratic-Republic-Of-Congo,Dominican-Republic,Ecuador,Egypt,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,Hong-Kong,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Laos,Lebanon,Libya,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Nepal,Netherlands,New-Zealand,Nigeria,North-Korea,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Russia,Rwanda,Saudi-Arabia,Senegal,Sierra-Leone,Singapore,Somalia,South-Africa,South-Korea,South-Sudan,Spain,Sri-Lanka,St-Lucia,Sudan,Sweden,Switzerland,Syria,Tanzania,Thailand,Trinidad-And-Tobago,Tunisia,Turkey,Uganda,Ukraine,United-Arab-Emirates,USA,Uzbekistan,Venezuela,Vietnam,Western-Sahara,Yemen,Zambia,Zimbabwe
0,Afghanistan,Kabul,34.31,69.11,73.6,5.5,4.3,3.2,3.2,4.1,3.4,2.3,0.5,0.0,0.0,439.0,446.0,-1.6,,52.6,12.7,9.9,5.0,2.4,4.1,4.3,1.5,0.8,0.0,0.0,2014-01-07,340.0,109.0,182.0,150.0,190.0,322.0,761.0,119.0,129.0,198.0,368.0,291.0,167.0,142.0,148.0,104.0,421.0,158.0,59.0,416.0,883.0,95.0,220.0,302.0,172.0,458.0,351.0,112.0,317.0,163.0,570.0,229.0,90.0,201.0,389.0,267.0,4838.0,275.0,535.0,715.0,114.0,221.0,249.0,310.0,181.0,118.0,229.0,128.0,1042.0,638.0,334.0,370.0,499.0,447.0,240.0,263.0,309.0,378.0,124.0,922.0,210.0,846.0,302.0,171.0,118.0,699.0,231.0,78.0,84.0,238.0,740.0,944.0,220.0,132.0,171.0,222.0,177.0,427.0,200.0,372.0,321.0,335.0,393.0,101.0,182.0,178.0,458.0,121.0,200.0,175.0,162.0,276.0,157.0,656.0,176.0,190.0,834.0,666.0,280.0,171.0,73.0,129.0,166.0,523.0,5197.0,188.0,1093.0,1439.0,310.0,124.0,571.0,2515.0,55.0,247.0,588.0,101.0,181.0,174.0,185.0
1,Albania,Tirana (Tirane),41.19,19.49,59.4,8.3,8.7,3.5,5.2,5.2,6.1,2.2,1.3,0.0,0.0,229.0,223.0,2.7,,52.6,12.7,9.9,5.0,2.4,4.1,4.3,1.5,0.8,0.0,0.0,2014-01-08,304.0,118.0,212.0,131.0,131.0,364.0,695.0,123.0,116.0,181.0,433.0,261.0,120.0,103.0,156.0,84.0,467.0,145.0,85.0,412.0,661.0,115.0,242.0,259.0,391.0,507.0,446.0,113.0,287.0,142.0,530.0,244.0,74.0,227.0,309.0,302.0,4004.0,295.0,580.0,656.0,107.0,278.0,265.0,300.0,186.0,129.0,200.0,122.0,1557.0,407.0,338.0,449.0,476.0,412.0,282.0,256.0,287.0,415.0,119.0,895.0,186.0,963.0,326.0,287.0,132.0,539.0,210.0,96.0,127.0,270.0,765.0,1002.0,240.0,133.0,188.0,215.0,148.0,523.0,195.0,373.0,449.0,335.0,358.0,133.0,149.0,209.0,403.0,118.0,253.0,193.0,242.0,248.0,170.0,651.0,186.0,169.0,724.0,596.0,240.0,147.0,68.0,134.0,156.0,390.0,4106.0,166.0,1017.0,1373.0,337.0,177.0,658.0,2135.0,82.0,507.0,526.0,109.0,177.0,155.0,165.0
2,Algeria,Algiers,36.45,3.03,66.0,8.7,12.3,1.9,1.9,5.2,1.9,0.6,0.0,0.0,1.3,309.0,296.0,4.4,,52.6,12.7,9.9,5.0,2.4,4.1,4.3,1.5,0.8,0.0,0.0,2014-01-09,260.0,141.0,207.0,240.0,114.0,300.0,683.0,135.0,125.0,191.0,326.0,245.0,93.0,81.0,143.0,107.0,403.0,177.0,147.0,366.0,550.0,98.0,183.0,282.0,220.0,472.0,334.0,114.0,219.0,132.0,471.0,211.0,74.0,190.0,364.0,243.0,3454.0,285.0,478.0,663.0,140.0,293.0,267.0,254.0,168.0,108.0,196.0,117.0,1124.0,378.0,298.0,307.0,414.0,400.0,282.0,201.0,275.0,346.0,116.0,751.0,191.0,571.0,277.0,277.0,128.0,614.0,212.0,131.0,82.0,296.0,689.0,855.0,439.0,127.0,181.0,169.0,153.0,411.0,157.0,349.0,422.0,277.0,370.0,136.0,278.0,193.0,443.0,130.0,218.0,161.0,150.0,244.0,153.0,607.0,193.0,194.0,869.0,630.0,212.0,151.0,79.0,137.0,148.0,393.0,4960.0,164.0,999.0,1458.0,280.0,156.0,542.0,1923.0,70.0,279.0,526.0,121.0,162.0,132.0,150.0
3,American Samoa,Pago Pago,-14.16,-170.42,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-10,243.0,103.0,176.0,155.0,120.0,256.0,581.0,94.0,106.0,185.0,391.0,203.0,94.0,90.0,119.0,120.0,336.0,134.0,118.0,450.0,536.0,73.0,223.0,254.0,148.0,371.0,298.0,92.0,198.0,119.0,425.0,210.0,89.0,244.0,327.0,168.0,2963.0,285.0,476.0,637.0,119.0,185.0,229.0,233.0,134.0,88.0,183.0,86.0,859.0,309.0,312.0,289.0,421.0,355.0,227.0,251.0,257.0,305.0,89.0,669.0,148.0,750.0,240.0,212.0,95.0,509.0,194.0,84.0,87.0,278.0,617.0,780.0,305.0,98.0,154.0,160.0,128.0,385.0,145.0,318.0,297.0,233.0,280.0,91.0,191.0,155.0,670.0,118.0,185.0,252.0,156.0,222.0,141.0,461.0,140.0,131.0,606.0,559.0,158.0,124.0,86.0,126.0,146.0,355.0,4169.0,141.0,1204.0,1245.0,260.0,147.0,484.0,1541.0,75.0,232.0,465.0,103.0,165.0,136.0,186.0
4,Andorra,Andorra la Vella,42.3,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-11,171.0,91.0,107.0,70.0,89.0,215.0,460.0,50.0,85.0,127.0,164.0,175.0,71.0,66.0,100.0,71.0,246.0,129.0,51.0,359.0,474.0,44.0,154.0,191.0,115.0,301.0,201.0,52.0,208.0,126.0,442.0,187.0,67.0,138.0,349.0,167.0,2850.0,179.0,326.0,459.0,85.0,119.0,135.0,193.0,128.0,85.0,113.0,98.0,626.0,285.0,213.0,165.0,371.0,349.0,163.0,200.0,207.0,303.0,80.0,467.0,192.0,523.0,156.0,166.0,60.0,460.0,181.0,55.0,61.0,253.0,493.0,763.0,147.0,76.0,120.0,109.0,124.0,234.0,98.0,240.0,198.0,196.0,268.0,76.0,122.0,104.0,274.0,79.0,140.0,125.0,81.0,195.0,102.0,414.0,103.0,98.0,482.0,523.0,178.0,51.0,44.0,101.0,132.0,254.0,4475.0,98.0,1122.0,1138.0,182.0,130.0,415.0,1405.0,49.0,120.0,386.0,91.0,105.0,104.0,143.0
5,Angola,Luanda,-8.5,13.14,57.9,11.5,17.3,5.0,3.2,2.9,2.2,0.0,0.0,0.0,0.0,278.0,129.0,115.5,,52.6,12.7,9.9,5.0,2.4,4.1,4.3,1.5,0.8,0.0,0.0,2014-01-12,198.0,169.0,139.0,92.0,137.0,243.0,562.0,79.0,102.0,125.0,260.0,283.0,70.0,101.0,137.0,96.0,279.0,198.0,88.0,415.0,588.0,73.0,205.0,324.0,146.0,384.0,301.0,76.0,318.0,156.0,560.0,244.0,86.0,131.0,438.0,223.0,3690.0,247.0,426.0,591.0,120.0,174.0,202.0,309.0,138.0,119.0,169.0,128.0,786.0,387.0,266.0,242.0,488.0,453.0,252.0,257.0,219.0,322.0,111.0,672.0,199.0,343.0,198.0,231.0,76.0,638.0,216.0,67.0,109.0,376.0,726.0,1049.0,193.0,139.0,152.0,147.0,166.0,289.0,136.0,289.0,291.0,262.0,285.0,111.0,193.0,126.0,314.0,100.0,185.0,144.0,115.0,243.0,129.0,536.0,133.0,115.0,667.0,641.0,258.0,84.0,58.0,119.0,112.0,304.0,6426.0,135.0,1366.0,1481.0,241.0,149.0,530.0,1911.0,61.0,168.0,564.0,99.0,111.0,154.0,190.0
6,Anguilla,The Valley,18.13,-63.03,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-13,289.0,130.0,235.0,175.0,131.0,314.0,829.0,140.0,94.0,159.0,376.0,270.0,123.0,103.0,155.0,132.0,504.0,130.0,102.0,449.0,960.0,91.0,298.0,227.0,184.0,460.0,328.0,100.0,303.0,141.0,565.0,332.0,92.0,192.0,567.0,355.0,4699.0,255.0,619.0,579.0,85.0,253.0,255.0,330.0,172.0,91.0,250.0,126.0,1083.0,479.0,366.0,319.0,538.0,470.0,303.0,288.0,295.0,374.0,136.0,861.0,285.0,454.0,325.0,263.0,122.0,732.0,249.0,94.0,119.0,323.0,789.0,988.0,267.0,130.0,171.0,214.0,162.0,414.0,150.0,398.0,490.0,298.0,439.0,158.0,207.0,179.0,499.0,125.0,229.0,192.0,117.0,285.0,139.0,656.0,178.0,160.0,803.0,727.0,267.0,145.0,67.0,159.0,237.0,463.0,12074.0,177.0,1307.0,1694.0,378.0,170.0,653.0,2064.0,159.0,196.0,713.0,118.0,123.0,153.0,229.0
7,Antigua and Barbuda,Saint John's,17.07,-61.51,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-14,252.0,142.0,159.0,121.0,166.0,305.0,639.0,108.0,123.0,190.0,277.0,267.0,116.0,93.0,138.0,100.0,396.0,120.0,113.0,429.0,658.0,100.0,236.0,298.0,259.0,427.0,348.0,72.0,266.0,128.0,441.0,303.0,74.0,168.0,433.0,242.0,4348.0,260.0,560.0,517.0,91.0,210.0,289.0,280.0,140.0,83.0,191.0,108.0,915.0,404.0,282.0,268.0,408.0,382.0,260.0,270.0,248.0,327.0,134.0,744.0,226.0,431.0,244.0,275.0,116.0,637.0,178.0,116.0,94.0,284.0,713.0,809.0,262.0,121.0,209.0,176.0,176.0,491.0,136.0,322.0,262.0,250.0,346.0,131.0,180.0,170.0,455.0,109.0,1119.0,171.0,133.0,275.0,135.0,640.0,137.0,146.0,737.0,713.0,267.0,150.0,70.0,151.0,256.0,387.0,8560.0,141.0,1216.0,1429.0,308.0,134.0,502.0,1972.0,85.0,161.0,608.0,86.0,152.0,171.0,224.0
8,Argentina,Buenos Aires,-34.36,-58.4,48.2,19.1,11.3,8.3,3.8,3.2,4.5,1.8,0.0,0.0,0.0,666.0,432.0,54.2,,52.6,12.7,9.9,5.0,2.4,4.1,4.3,1.5,0.8,0.0,0.0,2014-01-15,315.0,144.0,218.0,121.0,119.0,264.0,664.0,106.0,106.0,195.0,253.0,260.0,120.0,85.0,144.0,93.0,424.0,177.0,106.0,368.0,586.0,105.0,214.0,247.0,166.0,453.0,293.0,101.0,334.0,160.0,490.0,258.0,69.0,167.0,409.0,204.0,3919.0,270.0,530.0,562.0,80.0,187.0,538.0,272.0,187.0,86.0,185.0,129.0,1124.0,391.0,291.0,263.0,380.0,385.0,275.0,244.0,253.0,355.0,142.0,700.0,231.0,680.0,275.0,234.0,90.0,615.0,186.0,125.0,91.0,279.0,706.0,885.0,253.0,130.0,159.0,175.0,149.0,487.0,157.0,289.0,442.0,255.0,387.0,106.0,164.0,177.0,451.0,102.0,455.0,191.0,118.0,260.0,139.0,620.0,155.0,146.0,745.0,618.0,221.0,140.0,82.0,152.0,191.0,381.0,7074.0,139.0,1237.0,1515.0,353.0,153.0,635.0,1901.0,84.0,204.0,593.0,107.0,155.0,152.0,210.0
9,Armenia,Yerevan,40.1,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-16,284.0,101.0,144.0,118.0,130.0,272.0,609.0,91.0,99.0,297.0,219.0,228.0,121.0,88.0,131.0,89.0,368.0,137.0,90.0,391.0,773.0,99.0,192.0,202.0,150.0,383.0,322.0,93.0,322.0,139.0,404.0,231.0,73.0,171.0,347.0,210.0,3269.0,352.0,452.0,474.0,93.0,212.0,311.0,220.0,164.0,91.0,174.0,104.0,1539.0,404.0,269.0,440.0,430.0,396.0,238.0,286.0,281.0,351.0,133.0,1321.0,407.0,713.0,259.0,210.0,77.0,596.0,183.0,88.0,118.0,256.0,684.0,786.0,224.0,83.0,183.0,187.0,157.0,508.0,139.0,315.0,280.0,244.0,325.0,107.0,172.0,167.0,406.0,137.0,342.0,167.0,140.0,226.0,152.0,541.0,167.0,141.0,880.0,803.0,250.0,122.0,79.0,158.0,231.0,355.0,4523.0,293.0,1124.0,1351.0,333.0,152.0,456.0,1697.0,146.0,137.0,498.0,94.0,184.0,133.0,177.0
10,Aruba,Oranjestad,12.31,-70.02,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-17,268.0,116.0,178.0,122.0,121.0,218.0,602.0,104.0,160.0,286.0,157.0,201.0,87.0,102.0,112.0,76.0,362.0,242.0,72.0,406.0,555.0,68.0,199.0,215.0,107.0,322.0,264.0,61.0,230.0,115.0,387.0,205.0,87.0,157.0,310.0,183.0,2733.0,219.0,443.0,457.0,76.0,147.0,228.0,201.0,150.0,74.0,180.0,98.0,1186.0,391.0,242.0,319.0,408.0,317.0,214.0,240.0,214.0,248.0,100.0,1927.0,235.0,468.0,182.0,287.0,65.0,529.0,167.0,71.0,64.0,175.0,550.0,711.0,209.0,100.0,147.0,138.0,119.0,403.0,113.0,326.0,275.0,204.0,277.0,101.0,142.0,146.0,361.0,106.0,225.0,153.0,212.0,190.0,112.0,420.0,140.0,129.0,681.0,685.0,227.0,83.0,59.0,120.0,150.0,290.0,5416.0,165.0,1025.0,1783.0,585.0,217.0,460.0,1525.0,107.0,136.0,421.0,72.0,122.0,141.0,146.0
