country,city,lat,lon,pageviews,pageviews_dby,pct_change
Afghanistan,Kabul,34.31,69.11,249.0,179.0,39.1
Albania,Tirana (Tirane),41.19,19.49,106.0,134.0,-20.9
Algeria,Algiers,36.45,3.03,137.0,110.0,24.5
American Samoa,Pago Pago,-14.16,-170.42,,,
Andorra,Andorra la Vella,42.3,1.31,,,
Angola,Luanda,-8.5,13.14,,,
Anguilla,The Valley,18.13,-63.03,,,
Antigua and Barbuda,Saint John's,17.07,-61.51,,,
Argentina,Buenos Aires,-34.36,-58.4,189.0,136.0,39.0
Armenia,Yerevan,40.1,44.3,,,
Aruba,Oranjestad,12.31,-70.02,,,
Australia,Canberra,-35.17,149.13,589.0,421.0,39.9
Austria,Vienna,48.12,16.22,,,
Azerbaijan,Baku (Baki Baky),40.23,49.52,,,
Bahamas The,Nassau,25.05,-77.21,,,
Bahrain,Manama,26.14,50.34,108.0,106.0,1.9
Bangladesh,Dhaka,23.43,90.24,186.0,96.0,93.8
Barbados,Bridgetown,13.06,-59.37,155.0,131.0,18.3
Belarus,Minsk,53.54,27.34,,,
Belgium,Brussels,50.5,4.2,,,
Belize,Belmopan,17.15,-88.46,,,
Benin,Porto-Novo (official capital),6.29,2.37,,,
Bermuda,Hamilton,32.17,-64.47,,,
Bhutan,Thimphu,27.29,89.36,,,
Bolivia,La Paz (administrative capital),-16.3,-68.09,110.0,99.0,11.1
Bosnia-and-Herzegovina,Sarajevo,43.52,18.25,,,
Botswana,Gaborone,-24.45,25.55,,,
Brazil,Brasilia,-15.47,-47.55,296.0,200.0,48.0
British Virgin Islands,Road Town,18.27,-64.37,,,
Brunei,Bandar Seri Begawan,4.53,114.56,,,
Bulgaria,Sofia,42.41,23.19,301.0,265.0,13.6
Burkina Faso,Ouagadougou,12.22,-1.31,,,
Burma,Rangoon (Yangon),16.48,96.09,215.0,184.0,16.8
Burundi,Bujumbura,-3.22,29.21,,,
Cambodia,Phnom Penh,11.33,104.55,316.0,251.0,25.9
Cameroon,Yaounde,3.52,11.31,,,
Canada,Ottawa,45.25,-75.42,262.0,172.0,52.3
Cape-Verde,Praia,14.55,-23.31,113.0,127.0,-11.0
Cayman Islands,George Town (on Grand Cayman),19.18,-81.23,,,
Central African Republic,Bangui,4.22,18.35,,,
Chad,N'Djamena,12.06,15.02,,,
Chile,Santiago,-33.27,-70.4,106.0,76.0,39.5
China,Beijing,39.55,116.23,450.0,259.0,73.7
Christmas Island,The Settlement,-10.25,105.43,,,
Cocos (Keeling) Islands,West Island,-12.1,96.5,,,
Colombia,Bogota,4.36,-74.05,417.0,269.0,55.0
Comoros,Moroni,-11.42,43.14,,,
Democratic-Republic-Of-Congo,Kinshasa,-4.19,15.18,137.0,76.0,80.3
Congo Republic of the,Brazzaville,-4.15,15.17,,,
Cook Islands,Avarua,-21.12,-159.46,,,
Costa-Rica,San Jose,9.56,-84.05,145.0,144.0,0.7
Croatia,Zagreb,45.48,16.0,413.0,263.0,57.0
Cuba,Havana,23.07,-82.21,427.0,475.0,-10.1
Cyprus,Nicosia (Lefkosia),35.1,33.22,395.0,343.0,15.2
Czech-Republic,Prague,50.05,14.28,114.0,54.0,111.1
CÈte d'Ivoire,Yamoussoukro,6.49,-5.17,,,
Denmark,Copenhagen,55.4,12.35,,,
Djibouti,Djibouti,11.35,43.09,,,
Dominica,Roseau,15.18,-61.24,,,
Dominican-Republic,Santo Domingo,18.28,-69.54,293.0,292.0,0.3
East Timor,Dili,-8.35,125.36,,,
