city,country,lat,lon
Kabul,Afghanistan,34.31,69.11
Tirana (Tirane),Albania,41.19,19.49
Algiers,Algeria,36.45,3.03
Pago Pago,American Samoa,-14.16,-170.42
Andorra la Vella,Andorra,42.3,1.31
Luanda,Angola,-8.5,13.14
The Valley,Anguilla,18.13,-63.03
Saint John's,Antigua and Barbuda,17.07,-61.51
Buenos Aires,Argentina,-34.36,-58.4
Yerevan,Armenia,40.1,44.3
Oranjestad,Aruba,12.31,-70.02
Canberra,Australia,-35.17,149.13
Vienna,Austria,48.12,16.22
Baku (Baki Baky),Azerbaijan,40.23,49.52
Nassau,Bahamas The,25.05,-77.21
Manama,Bahrain,26.14,50.34
Dhaka,Bangladesh,23.43,90.24
Bridgetown,Barbados,13.06,-59.37
Minsk,Belarus,53.54,27.34
Brussels,Belgium,50.5,4.2
Belmopan,Belize,17.15,-88.46
Porto-Novo (official capital),Benin,6.29,2.37
Hamilton,Bermuda,32.17,-64.47
Thimphu,Bhutan,27.29,89.36
La Paz (administrative capital),Bolivia,-16.3,-68.09
Sarajevo,Bosnia-and-Herzegovina,43.52,18.25
Gaborone,Botswana,-24.45,25.55
Brasilia,Brazil,-15.47,-47.55
Road Town,British Virgin Islands,18.27,-64.37
Bandar Seri Begawan,Brunei,4.53,114.56
Sofia,Bulgaria,42.41,23.19
Ouagadougou,Burkina Faso,12.22,-1.31
Rangoon (Yangon),Burma,16.48,96.09
Bujumbura,Burundi,-3.22,29.21
Phnom Penh,Cambodia,11.33,104.55
Yaounde,Cameroon,3.52,11.31
Ottawa,Canada,45.25,-75.42
Praia,Cape-Verde,14.55,-23.31
George Town (on Grand Cayman),Cayman Islands,19.18,-81.23
Bangui,Central African Republic,4.22,18.35
N'Djamena,Chad,12.06,15.02
Santiago,Chile,-33.27,-70.4
Beijing,China,39.55,116.23
The Settlement,Christmas Island,-10.25,105.43
West Island,Cocos (Keeling) Islands,-12.1,96.5
Bogota,Colombia,4.36,-74.05
Moroni,Comoros,-11.42,43.14
Kinshasa,Democratic-Republic-Of-Congo,-4.19,15.18
Brazzaville,Congo Republic of the,-4.15,15.17
Avarua,Cook Islands,-21.12,-159.46
San Jose,Costa-Rica,9.56,-84.05
Zagreb,Croatia,45.48,16
Havana,Cuba,23.07,-82.21
Nicosia (Lefkosia),Cyprus,35.1,33.22
Prague,Czech-Republic,50.05,14.28
Yamoussoukro,CÈte d'Ivoire,6.49,-5.17
Copenhagen,Denmark,55.4,12.35
Djibouti,Djibouti,11.35,43.09
Roseau,Dominica,15.18,-61.24
Santo Domingo,Dominican-Republic,18.28,-69.54
Dili,East Timor,-8.35,125.36
Quito,Ecuador,-0.13,-78.3
Cairo,Egypt,30.03,31.15
San Salvador,El Salvador,13.42,-89.12
Malabo,Equatorial Guinea,3.45,8.47
Asmara (Asmera),Eritrea,15.2,38.56
Tallinn,Estonia,59.26,24.43
Addis Ababa,Ethiopia,9.02,38.42
Brussels (Belgium) Strasbourg (France) Luxembourg,European Union,50.5,4.2
Stanley,Falkland Islands (Islas Malvinas),-51.42,-57.51
Torshavn,Faroe Islands,62.01,-6.46
Suva (on Viti Levu),Fiji,-18.08,178.25
Helsinki,Finland,60.1,24.56
Paris,France,48.52,2.2
Papeete,French Polynesia,-17.32,-149.34
Libreville,Gabon,0.23,9.27
Banjul,Gambia The,13.27,-16.34
T'bilisi,Georgia,41.43,44.47
Berlin,Germany,52.31,13.24
Accra,Ghana,5.33,-0.13
Gibraltar,Gibraltar,36.08,-5.21
Athens,Greece,37.59,23.44
Nuuk (Godthab),Greenland,64.11,-51.45
Saint George's,Grenada,12.03,-61.45
Hagatna (Agana),Guam,13.28,144.44
Guatemala,Guatemala,14.37,-90.31
Saint Peter Port,Guernsey,49.27,-2.32
Conakry,Guinea,9.33,-13.42
Bissau,Guinea-Bissau,11.51,-15.35
Georgetown,Guyana,6.48,-58.1
Port-au-Prince,Haiti,18.32,-72.2
Vatican City,Holy See (Vatican City),41.54,12.27
Tegucigalpa,Honduras,14.06,-87.13
Budapest,Hungary,47.3,19.05
Reykjavik,Iceland,64.09,-21.57
New Delhi,India,28.36,77.12
Jakarta,Indonesia,-6.1,106.49
Tehran,Iran,35.4,51.25
Baghdad,Iraq,33.2,44.23
Dublin,Ireland,53.19,-6.14
Jerusalem,Israel,31.46,35.14
Rome,Italy,41.54,12.29
Kingston,Jamaica,18,-76.48
Tokyo,Japan,35.41,139.45
Saint Helier,Jersey,49.11,-2.06
Amman,Jordan,31.57,35.56
Astana,Kazakhstan,51.1,71.25
Nairobi,Kenya,-1.17,36.49
Tarawa,Kiribati,1.19,172.58
Pyongyang,North-Korea,39.01,125.45
Seoul,South-Korea ,37.33,126.59
Kuwait,Kuwait,29.22,47.58
Bishkek,Kyrgyzstan,42.52,74.36
Vientiane,Laos,17.58,102.36
Riga,Latvia,56.57,24.06
Beirut,Lebanon,33.52,35.3
Maseru,Lesotho,-29.19,27.29
Monrovia,Liberia,6.18,-10.48
Tripoli,Libya,32.53,13.1
Vaduz,Liechtenstein,47.08,9.31
Vilnius,Lithuania,54.41,25.19
Luxembourg,Luxembourg,49.36,6.07
Skopje,Macedonia Republic of,42,21.26
Antananarivo,Madagascar,-18.55,47.31
Lilongwe,Malawi,-13.59,33.47
Kuala Lumpur,Malaysia,3.1,101.42
Male,Maldives,4.1,73.3
Bamako,Mali,12.39,-8
Valletta,Malta,35.53,14.3
Douglas,Man Isle of,54.09,-4.29
Majuro,Marshall Islands,7.06,171.23
Nouakchott,Mauritania,18.07,-16.02
Port Louis,Mauritius,-20.09,57.29
Mamoudzou,Mayotte,-12.46,45.13
Mexico (Distrito Federal),Mexico,19.26,-99.08
Palikir,Micronesia Federated States of,6.55,158.09
Chisinau (Kishinev),Moldova,47,28.51
Monaco,Monaco,43.44,7.25
Ulaanbaatar,Mongolia,47.55,106.55
Plymouth,Montserrat,16.42,-62.13
Rabat,Morocco,34.01,-6.49
Maputo,Mozambique,-25.57,32.35
Windhoek,Namibia,-22.34,17.05
Kathmandu,Nepal,27.43,85.19
Amsterdam,Netherlands,52.23,4.54
Willemstad (on Curacao),Netherlands Antilles,12.06,-68.56
Noumea,New Caledonia,-22.16,166.27
Wellington,New-Zealand,-41.28,174.51
Managua,Nicaragua,12.09,-86.17
Niamey,Niger,13.31,2.07
Abuja,Nigeria,9.05,7.32
Alofi,Niue,-19.01,-169.55
Kingston,Norfolk Island,-29.03,167.58
Saipan,Northern Mariana Islands,15.12,145.45
Oslo,Norway,59.55,10.45
Muscat,Oman,23.37,58.35
Islamabad,Pakistan,33.42,73.1
Melekeok,Palau,7.29,134.38
Panama,Panama,8.58,-79.32
Port Moresby,Papua New Guinea,-9.3,147.1
Asuncion,Paraguay,-25.16,-57.4
Lima,Peru,-12.03,-77.03
Manila,Philippines,11.87,122.86
Adamstown,Pitcairn Islands,-25.04,-130.05
Warsaw,Poland,52.15,21
Lisbon,Portugal,38.43,-9.08
San Juan,Puerto Rico,18.28,-66.07
Doha,Qatar,25.17,51.32
Bucharest,Romania,44.26,26.06
Moscow,Russia,55.45,37.35
Kigali,Rwanda,-1.57,30.04
Apia,Samoa,-13.5,-171.44
San Marino,San Marino,43.56,12.25
Riyadh,Saudi Arabia,24.38,46.43
Dakar,Senegal,14.4,-17.26
Belgrade (Beograd),Serbia and Montenegro,44.5,20.3
Victoria,Seychelles,-4.38,55.27
Freetown,Sierra Leone,8.3,-13.15
Singapore,Singapore,1.17,103.51
Bratislava,Slovakia,48.09,17.07
Ljubljana,Slovenia,46.03,14.31
Honiara,Solomon Islands,-9.26,159.57
Mogadishu,Somalia,2.04,45.22
Pretoria (administrative capital),South-Africa,-25.42,28.13
Madrid,Spain,40.24,-3.41
Colombo,Sri-Lanka,6.56,79.51
Khartoum,Sudan,15.36,32.32
Paramaribo,Suriname,5.5,-55.1
Longyearbyen,Svalbard,78.13,15.33
Mbabane,Swaziland,-26.18,31.06
Stockholm,Sweden,59.2,18.03
Bern,Switzerland,46.57,7.26
Damascus,Syria,33.3,36.18
Sao Tome,S o Tom_ and Prêncipe,0.12,6.39
Taipei,Taiwan,25.03,121.3
Dushanbe,Tajikistan,38.35,68.48
Dar es Salaam,Tanzania,-6.48,39.17
Bangkok,Thailand,13.45,100.31
Lome,Togo,6.08,1.13
Nuku'alofa,Tonga,-21.08,-175.12
Port-of-Spain,Trinidad and Tobago,10.39,-61.31
Tunis,Tunisia,36.48,10.11
Ankara,Turkey,39.56,32.52
Ashgabat (Ashkhabad),Turkmenistan,37.57,58.23
Grand Turk (Cockburn Town),Turks and Caicos Islands,21.28,-71.08
Funafuti,Tuvalu,-8.3,179.12
Kampala,Uganda,0.19,32.25
Kyiv (Kiev),Ukraine,50.26,30.31
Abu Dhabi,United-Arab-Emirates,24.28,54.22
London,United Kingdom,51.52,-0.11
Washington DC,USA,38.53,-77.02
Montevideo,Uruguay,-34.53,-56.11
Tashkent (Toshkent),Uzbekistan,41.2,69.18
Port-Vila (on Efate),Vanuatu,-17.44,168.19
Caracas,Venezuela,10.3,-66.56
Hanoi,Vietnam,21.02,105.51
Charlotte Amalie,Virgin Islands,18.21,-64.56
Mata-Utu (on Ile Uvea),Wallis and Futuna,-13.57,-171.56
Sanaa,Yemen,15.21,44.12
Lusaka,Zambia,-15.25,28.17
Harare,Zimbabwe,-17.5,31.03
